what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564419383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564419483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564440572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564440643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342564442736
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342564445170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342564448879
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342564463197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342564470261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342564471664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342564472834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342564480467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342564482786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564487271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564487347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564491719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564491800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342564508914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342564509902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564523202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564525829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342564616475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564618309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564621665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564626874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342564634550
